# Patoshi-pattern coinbase outputs + a small supplement.
# Source:     https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
# Curators:   Sergio Demian Lerner (pattern), Jameson Lopp (dataset).
# Fetched:    2026-04-29
# Range:      blocks 3-49973
# Rows in:    21953 (p2pk=21953, p2pkh=0, skipped=0)
# Supplement: 1 address(es) appended (e.g. genesis, outside Lerner's pattern but universally attributed to Satoshi)
# Unique:     21954 addresses
# Total:      1097702.49000000 BTC
address,balance_btc
11QLSS6Vgdr3TprB3qdhxgMGBKktdCqL8,50.00000000
11Yd9Lf5HNqKzwR2bGjMM28CW9KMjDmvC,50.00000000
11f9jCPEYg54qTjPeCFS1wLHaD59shf1o,50.00000000
11gbibW5B2vMvhDLB3NTbJbuwU8ZwzfRV,50.00000000
11i87i9kx6CW2ArEav2A2YR15YygUap4H,50.00000000
11mp7uWaUmarZXG7DUzY77SuRj8EVqd5m,50.00000000
11o6Hbs9XdD1nJopbttBw4KeTG5z2yWWi,50.00000000
11qkyreEGctD8VzQSsMj4yn7zQYCAvife,50.00000000
11sggbxJScQ9gzwpKJrxakS4TKbdWKGnn,50.00000000
11tyhGyQA7d5XV8wWRPGrRFB4F2xqknGU,50.00000000
11vj97TktTs2m67fPBi7hhF4pCJT92XaL,50.00000000
1217m1wtLJhzgxeQF2mQLUX5TTbm4NM57b,50.00000000
121FDv7sDD3NxaZ5Y5ZhBhZmropByZM9uF,50.00000000
121FHjDYLFsesL3Y3yPoj5XbtVqyKqnLNC,50.00000000
121G9LGjvUXrBR8r9qy5Cja8RmS5wVLB5c,50.00000000
121GKqteAbP7hw4jaYydVfBsfExfDpZvjm,50.00000000
121GjBQRneEkW2ay9ppnTpYRFDfJckqpSx,50.00000000
121QGeGXDDE6wriSNt7ZcrLgoNpb5aMLdx,50.00000000
121RhVmcyng71mc4ssyQpweXQmWd7GMqjU,50.00000000
121SP2ckTSeCAtMup3maeZ7TwrySaEVS8V,50.00000000
121TmbX2tpuRkF8MNEHagFxuKJrhsvMqpe,50.00000000
121Ync8LXWKEzy6tn1C8nkuL8FkoWvxDqA,50.00000000
121Zkq7xcr8JSgMSto6xRZexMuEpsEaDgE,50.00000000
121abrmshdYmDYQLMrgBGecZFrSuiDynjS,50.00000000
121dXKrMFUJsMvbHt19YdLorKyYbmZpj15,50.00000000
121gcgUMDCaskqJzyNoabufAJLYFonxzzM,50.00000000
121gyjjyQQYTSaerVJQn7EkfbJ9d5Z16HC,50.00000000
121k7EkR6cs5mAA6yYdeKcdeES6191crhA,50.00000000
121nLtFZb3DgGwNHpFwzj6hRajmemzRUkU,50.00000000
121qEfRnksyvYDBnWzLWtTbxXyhFaXSY8b,50.00000000
121uWsJpegUWfTLzjsTJXaHkwR7gR7agAt,50.00000000
121z5DovRkUnYiYWXT3xa3mToeUEBwG9tw,50.00000000
1222o3uyxr4uH6nSXFpiu2whY8JuKh7gaH,50.00000000
12235mayKg5wgH96F25VV4PFv4LncMFguQ,50.00000000
1224ew8jtPXvs4EWnZrM3i7ckjsKUx1WGv,50.00000000
1229qH6utXV8Fq5zRRTWv6dgL4FymhZeD1,50.00000000
122K2hkLrZEYaHm5jZAyViLSSDGz7r1ZLc,50.00000000
122KhX1TwLkVQCyW74YjQjYbkHy7hN1sKE,50.00000000
122LGGXLquSjoMDXzwERydaMjcwrEuyBq6,50.00000000
122PJ7gBBB9orw13t5GXwKaKtepExC9Q6m,50.00000000
122Qg4BoaWT1VZQ4pdsYYNTnCrjMsTPhjS,50.00000000
122YrCY4mnESawVp9uy46Jna3z2teTTkut,50.00000000
122aqaUwf2TGiMy8rXTnRMo9BhD2Aejw6s,50.00000000
122eKfiA5eyESjgqYKrQ8SLv64DwJnRDmw,50.00000000
122mA587U67mCwkBYd8vf9ku71EE7YYZPX,50.00000000
122nrouDYFqZzMiwCxihBDcjXcK6Lsj9u2,50.00000000
122qRATK4LCfHztjpomzKjw5BmdLMGR5xj,50.00000000
122rUHxNbsPbFf5ExUUXERuRjTPL9VPu8b,50.00000000
122tCmVuBCz3vH6tjheW27SCsx5XwjsnB1,50.00000000
122ttVpdkuBJ1firQ9nVXUz9v6HRyGM9zw,50.00000000
1237uX8Br59pNQYQFC2TNJZELRedPRHv2d,50.00000000
123B36Dg1hmTuGaVmhMXDnum2Q6qxhX52M,50.00000000
123E3mPCcSgMhfFW1uQfS6F4hc2bXZgZsG,50.00000000
